symbol,name
ARNX,Aeron
PHR,Phore
INN,Innova
RDN,Raiden Network Token
DPY,Delphy
ERC20,ERC20
UFR,Upfiring
GVT,Genesis Vision
PRIX,Privatix
LTHN,Lethean
PAYX,Paypex
GBX,GoByte
PNX,Phantomx
DNA,EncrypGen
INK,Ink
QSP,Quantstamp
QASH,QASH
TSL,Energo
BCD,Bitcoin Diamond
VEE,BLOCKv
MONK,MONK
FLIXX,Flixxo
TNB,Time New Bank
EVC,EventChain
CCO,Ccore
QBT,Qbao
DRGN,Dragonchain
PRE,Presearch
CMT,CyberMiles
BCDN,BlockCDN
CAPP,Cappasity
ERO,Eroscoin
SEND,Social Send
BON,Bonpay
WABI,Wabi
UQC,Uquid Coin
MDS,MediShares
IGNIS,Ignis
SMT,SmartMesh
PKT,Playkey
FIL,Filecoin
BCX,BitcoinX
SBTC,Super Bitcoin
AMM,MicroMoney
LOC,LockTrip
WRC,Worldcore
GFT,Gifto
YTN,YENTEN
GNX,Genaro Network
UBTC,United Bitcoin
STAR,Starbase
OST,OST
STMX,StormX
ELF,aelf
WAXP,WAX
MED,MediBloc
NGC,NAGA
BRD,Bread
BIX,Bibox Token
BNTY,Bounty0x
SRN,SIRIN LABS Token
HTML,HTMLCOIN
DBC,DeepBrain Chain
NEU,Neumark
UTK,Utrust
PLAY,HEROcoin
ONE,BigONE Token
HPY,Hyper Pay
STAK,STRAKS
LBTC,Lightning Bitcoin
GTC,Game.com
TAU,Lamden
SWFTC,SwftCoin
COV,Covesting
APPC,AppCoins
HPB,High Performance Blockchain
WICC,WaykiChain
MDT,Measurable Data Token
XIN,Mixin
GET,GET Protocol
POLIS,Polis
ZAP,Zap
TCT,TokenClub
AIX,Aigang
GOD,Bitcoin God
UTT,United Traders Token
KCASH,Kcash
KZC,KZ Cash
BCA,Bitcoin Atom
EKO,EchoLink
BTO,Bottos
TEL,Telcoin
IC,Ignition
WETH,WETH
KEY,SelfKey
INT,INT
RNT,OneRoot Network
IOST,IOST
AIT,AICHAIN
SPC,SpaceChain
ARCT,ArbitrageCT
THETA,Theta Network
PUT,Profile Utility Token
IPL,VouchForMe
AGIX,SingularityNET
CHAT,ChatCoin
DDD,Scry.info
MOBI,Mobius
HOT,Hydro Protocol
AAC,Double-A Chain
MOF,Molecular Future
TNC,Trinity Network Credit
C20,CRYPTO20
DTA,DATA
CRPT,Crypterium
SPK,SparksPay
CV,carVertical
TBX,Tokenbox
EKT,EDUCare
UIP,UnlimitedIP
TRUE,TrueChain
OCN,Odyssey
IDH,indaHash
AID,AidCoin
BUX,BUX Token
AXPR,Moola
TRAC,OriginTrail
LET,LinkEye
ZIL,Zilliqa
SOC,All Sports
MAN,Matrix AI Network
GRLC,Garlicoin
RUFF,Ruff
COFI,CoinFi
ZPT,Zeepin
CPC,CPChain
BTW,BitWhite
CXO,CargoX
ELA,Elastos
POLY,Polymath
MTN,Medicalchain
CHSB,SwissBorg
ADB,adbank
HT,Huobi Token
DMT,DMarket
BLZ,Bluzelle
SWM,Swarm
WPR,WePower
MNTP,GoldMint
CAS,Cashaa
FSN,Fusion
EDGE,Edge
NTK,Neurotoken
GEM,Gems 
REN,Ren
LCC,Litecoin Cash
TDX,Tidex Token
NCash,Nitro Network
ABT,Arcblock
REM,Remme
POA,POA Network
IHT,IHT Real Estate Protocol
RFR,Refereum
LYM,Lympo
CS,Credits
TUBE,BitTube
LEDU,Education Ecosystem
TUSD,TrueUSD
STAC,StarterCoin
ONT,Ontology
CHP,CoinPoker
TOMO,TomoChain
GRFT,Graft
BAX,BABB
ELEC,Electrify.Asia
BTCP,Bitcoin Private
TEN,Tokenomy
RVN,Ravencoin
TONE,TE-FOOD
CENNZ,CENNZnet
SNX,Synthetix
LOOM,Loom Network
BANCA,Banca
NANJ,NANJCOIN
UP,UpToken
1WO,1World
NPXS,Pundi X (Old)
BITG,Bitcoin Green
BFT,BnkToTheFuture
WAN,Wanchain
AMLT,AMLT
MITH,Mithril
XBP,BlitzPick
SPD,Stipend
SWTH,Carbon Protocol
SENC,Sentinel Chain
FDZ,Friendz
BERRY,Rentberry
XLA,Scala
NCT,PolySwarm
ODE,ODEM
XDC,XDC Network
CTXC,Cortex
CVT,CyberVein
DVPN,Sentinel
EOSDAC,eosDAC
UUU,U Network
AUC,Auctus
XMC,Monero Classic
MFG,Smart MFG
ADI,Aditus
XHV,Haven Protocol
DERO,Dero
EFX,Effect Network
FTX,FintruX Network
CHX,WeOwn
MSR,Masari
DOCK,Dock
LNC,Linker Coin
HOT,Holo
ZEBI,Zebi Token
RBLX,Rublix
NEXO,Nexo
DAX,DAEX
HYDRO,Hydro
CEL,Celsius
TNS,Transcodium
AMN,Amon
FLP,FLIP
MITX,Morpheus Labs
MTC,DOC.COM
MT,MyToken
BOUTS,BoutsPro
ZIPT,Zippie
SKM,Skrumble Network
GEN,DAOstack
GSC,Global Social Chain
DGX,Digix Gold Token
SKB,Sakura Bloom
JOINT,Joint Ventures
GRN,GreenPower
OXEN,Oxen
DTRC,Datarius Credit
CLO,Callisto Network
UBT,Unibright
PAT,Patron
LBA,Cred
OPEN,Open Platform
MNW,Morpheus.Network
UBSN,Silent Notary
XYO,XYO
RED,RED
DGTX,Digitex
AVA,Travala.com
IOTX,IoTeX
NKN,NKN
SOUL,Phantasma
SPD,SPINDLE
SEELE,Seele-N
0xBTC,0xBitcoin
PI,Plian
QKC,QuarkChain
FTO,FuturoCoin
ABYSS,Abyss
CBC,CBC.network
CEEK,CEEK VR
XMX,XMax
GO,GoChain
SSP,Smartshare
UPP,Sentinel Protocol
DAG,Constellation
MVP,Merculet
FGC,FantasyGold
MET,Metronome
AOA,Aurora
TERN,Ternio
DFT,DigiFinexToken
ORS,Origin Sport
ZCN,Zus
ZINC,ZINC
EGT,Egretia
BOB,Bob's Repair
KNDC,KanadeCoin
CARD,Cardstack
OTB,OTCBTC Token
MFT,Hifi Finance (Old)
FTI,FansTime
ESS,Essentia
KBC,Karatgold Coin
HSC,HashCoin
LIKE,LikeCoin
TENT,TENT
DTX,Databroker
MOC,Moss Coin
NIM,Nimiq
OLT,OneLedger
SUSD,sUSD
IQ,IQ
BMX,BitMart Token
KAN,BitKan
VITE,VITE
GARD,Hashgard
CET,CoinEx Token
RPL,Rocket Pool
BOX,ContentBox
SOP,SoPay
KRL,Kryll
LEMO,LemoChain
COSM,Cosmo Coin
TRTL,TurtleCoin
TOTO,Tourist Token
VIKKY,VikkyToken
RYO,Ryo Currency
WAB,WABnetwork
MVL,MVL
DACC,DACC
PGN,Pigeoncoin
EURS,STASIS EURO
NIX,NIX
APL,Apollo Currency
BIFI,Bitcoin File
VEX,Vexanium
NBR,Niobio
VIVID,Vivid Coin
VTHO,VeThor Token
PRIV,PRiVCY
KLKS,Kalkulus
ZMN,ZMINE
ARO,Arionum
FLUX,Flux
BST,Blocksquare Token
GOC,GoCrypto Token
TCH,Thore Cash
YCC,Yuan Chain Coin
EUNO,EUNO
EST,Esports Token
VET,VeChain
X8X,X8X Token
VIN,VINchain
LINA,Lina Network
INO,Ino Coin
AVINOC,AVINOC
BBS,BBSCoin
NBC,Niobium Coin
XOV,XOVBank
PKG,PKG Token
GIO,Graviocoin
IG,IGToken
GSE,GSENetwork
XDNA,XDNA
XPX,ProximaX
SCC,SiaCashCoin
TIC,Thingschain
EGEM,EtherGem
AREPA,Arepacoin
KARMA,KARMA
NOKU,Noku
DX,DxChain Token
UBEX,Ubex
PASS,Blockpass
BAAS,BaaSid
NTK,Netkoin
AKA,Akroma
OBTC,Obitan Chain
QNT,Quant
ABL,Airbloc
ZCR,ZCore
XAP,Apollon
YLC,YoloCash
PMA,PumaPay
XBI,Bitcoin Incognito
HB,HeartBout
MARO,Maro
ABX,Arbidex
HAND,ShowHand
HIT,HitChain
GPKR,Gold Poker
MFTU,Mainstream For The Underground
RATING,DPRating
KXC,KingXChain
NSD,Nasdacoin
VDG,VeriDocGlobal
YUKI,YUKI
MIB,MIB Coin
ONG,Ontology Gas
NRG,Energi
FTXT,FUTURAX
DAV,DAV Coin
AT,ABCC Token
FKX,FortKnoxster
BEET,Beetlecoin
IMT,Moneytoken
FLOT,Fire Lotto
CYMT,CyberMusic
BTR,Bitether
AMO,AMO Coin
EVN,EvenCoin
DIN,Dinero
HAVY,Havy
CARE,Carebit
IQ,IQ.cash
RTH,Rotharium
RET,RealTract
BIR,Birake
AAA,Abulaba
BTAD,Bitcoin Adult
BU,BUMO
MIN,MINDOL
IHF,Invictus Hyperion Fund
MOLK,MobilinkToken
GUSD,Gemini Dollar
AOG,smARTOFGIVING
CTRT,Cryptrust
PLURA,PluraCoin
ROX,Robotina
SIX,SIX
CMIT,CMITCOIN
USDP,Pax Dollar
GOSS,Gossip Coin
XCASH,X-CASH
SHARD,Shard
IQN,IQeon
QCH,QChi
ECOREAL,Ecoreal Estate
DAPS,DAPS Coin
MAS,MidasProtocol
TRXC,TRONCLASSIC
TMTG,The Midas Touch Gold
MINTME,MintMe.com Coin
AUX,Auxilium
PLC,PLATINCOIN
SINS,SafeInsure
MIR,MIR COIN
XGS,GenesisX
CIV,Civitas
KNT,Knekted
ACM,Actinium
FREE,FREEdom Coin
TOL,Tolar
QUAN,Quantis Network
STEEP,SteepCoin
NRP,Neural Protocol
SCRIV,SCRIV NETWORK
WIX,Wixlar
USDC,USD Coin
F1C,Future1coin
META,Metadium
SHPING,SHPING
RPD,Rapids
SNET,Snetwork
ABBC,ABBC Coin
DIVI,Divi
ZNT,Zenswap Network Token
MMO,MMOCoin
BLOC,BLOC.MONEY
ETHO,Etho Protocol
DATP,Decentralized Asset Trading Platform
PLUS1,PlusOneCoin
IRD,Iridium
HELP,GoHelpFund
CHEESE,Cheesecoin
ISR,Insureum
FBN,Fivebalance
TDP,TrueDeck
MODX,MODEL-X-coin
SHMN,StrongHands Masternode
PNY,Peony
TELOS,Teloscoin
WTN,Waletoken
ESCE,Escroco Emerald
SOUL,CryptoSoul
TYPE,Typerium
MBC,MicroBitcoin
APC,Alpha Coin
FTM,Fantom
SIN,SINOVATE
BRZE,Breezecoin
CYL,Crystal Token
PNK,Kleros
ETHM,Ethereum Meta
XNV,Nerva
HUM,Humanscape
BSV,Bitcoin SV
SHB,SkyHub Coin
VEST,VestChain
UDOO,Hyprr
MICRO,Micromines
NOR,Noir
DASHG,Dash Green
BCDT,EvidenZ
ILC,ILCOIN
ATP,Atlas Protocol
BTNTV2,BitNautic Token
EQUAD,QuadrantProtocol
RBTC,Rootstock Smart Bitcoin
BLTG,Block-Logic
MXC,MXC
FOAM,FOAM
OPCT,Opacity
PLAT,BitGuild PLAT
KAT,Kambria
CRO,Cronos
LML,Link Machine Learning
AERGO,Aergo
PXG,PlayGame
LPT,Livepeer
TVNT,TravelNote
SHVR,Shivers
HERB,Herbalist Token
COVA,COVA
ZUM,ZumCoin
BECN,Beacon
LAMB,Lambda
QUIN,QUINADS
SHX,Stronghold Token
HEDG,HedgeTrade
XFC,Footballcoin (XFC)
AGVC,AgaveCoin
ULT,Ultiledger
AWC,Atomic Wallet Coin
DOGEC,DogeCash
ASD,ASD
RNO,Earneo
AENS,AEN Smart Token
CVNT,Conscious Value Network
BTB,BitBall
OBSR,Observer
RIF,RSK Infrastructure Framework
BEAM,Beam
ADM,ADAMANT Messenger
VSYS,v.systems
EXO,Exosis
GRIN,Grin
CLBK,Cloudbric
LTO,LTO Network
CAJ,Cajutel
VEO,Amoveo
WBTC,Wrapped Bitcoin
BTTOLD,BitTorrent
HPT,Huobi Pool Token
TEMCO,TEMCO
SOLVE,SOLVE
TCAT,The Currency Analytics
PLA,PlayChip
CCX,Conceal
S4F,S4FE
ELAMA,Elamachain
BTU,BTU Protocol
DCTO,Decentralized Crypto Token
ECTE,EurocoinToken
BNANA,Chimpion
ELD,Electrum Dark
HXRO,Hxro
XPC,eXPerience Chain
UPX,uPlexa
EVY,EveryCoin 
MCF,MCF Token
JNB,Jinbi Token
SWC,Scanetchain
OWC,Oduwacoin
SET,Save Environment Token
PIB,PIBBLE
HBX,HashBX
CCN,CustomContractNetwork
FET,Fetch.ai
COT,CoTrader
ANKR,Ankr
LUNES,Lunes
ARAW,ARAW
ATOM,Cosmos
ZEON,ZEON
XUEZ,Xuez
SAFE,SafeCoin
FEX,FidexToken
BORA,BORA
NAVY,BoatPilot Token
TCH,TigerCash
LTK,LitecoinToken
DOS,DOS Network
ETGP,Ethereum Gold Project
CELR,Celer Network
VRA,Verasity
GMB,GAMB
BHIG,BuckHathCoin
TFUEL,Theta Fuel
TOP,TOP
NEX,Nash
VEIL,Veil
SHA,Safe Haven
ORBS,Orbs
XRC,xRhodium
FST,1irstcoin
CSP,Caspian
BOLT,BOLT
VBK,VeriBlock
OTO,OTOCASH
MTV,MultiVAC
FUND,Unification
LOCUS,Locus Chain
SFCP,SF Capital
FNB,FNB Protocol
UGAS,UGAS
CON,CONUN
NASH,NeoWorld Cash
SIGN,Signature Chain
A,Alpha Token
LIT,Lition
NEW,Newton
BOTX,botXcoin
IRIS,IRISnet
VALOR,Valor Token
WEBD,WebDollar
XWP,Swap
OCE,OceanEx Token
ARQ,Arqma
FX,Function X
MATIC,Polygon
VOLLAR,V-Dimension
NOW,ChangeNOW Token
CSPN,Crypto Sports Network
OKB,OKB
AXE,Axe
ZDR,Crypt2 Esports
XMV,MoneroV 
BITC,BitCash
DIO,Decimated
OCEAN,Ocean Protocol
TTN,Titan Coin
GTN,GlitzKoin
MERI,Merebel
SNTVT,Sentivate
SAFE,Safe
DPT,Diamond Platform Token
TRAT,Tratok
IDEX,IDEX
TT,ThunderCore
ELET,Elementeum
CNNS,CNNS
SRK,SparkPoint
GNY,GNY
TRP,Tronipay
ONE,Harmony
CRE,Carry
TERA,TERA
AFIN,Asian Fintech
NTR,Netrum
ARRR,Pirate Chain
EVED,Evedo
BOMB,BOMB
LEO,UNUS SED LEO
RSR,Reserve Rights
TOC,TouchCon
BHD,BitcoinHD
EUM,Elitium
AYA,Aryacoin
BTC2,Bitcoin 2
BC,Bitcoin Confidential
CHR,Chromia
OGO,Origo
SCC,StakeCubeCoin
BDX,Beldex
WFX,Webflix Token
COTI,COTI
MPAY,MenaPay
ZNN,Zenon
STPT,STP
XSPC,SpectreSecurityCoin
MCPC,Mobile Crypto Pay Coin
EOSDT,EOSDT
KTS,Klimatas
BTCB,Bitcoin BEP2
RAVEN,Raven Protocol
DAPP,LiquidApps
DVT,DeVault
MOTA,MotaCoin
ALGO,Algorand
NUT,Native Utility Token
JAR,Jarvis+
HNST,Honest
COS,Contentos
MBL,MovieBloc
ARPA,ARPA
MX,MX TOKEN
PROPEL,PayRue (Propel)
CATT,Catex Token
NBOT,Naka Bodhi Token
PAR,Parachute
IGG,IG Gold
AMPL,Ampleforth
FO,FIBOS
TRV,TrustVerse
USDK,USDK
CHZ,Chiliz
CIX100,Cryptoindex.com 100
BURN,Blockburn
SCP,ScPrime
XCHF,CryptoFranc
ETHPLO,ETHplode
MAYP,Maya Preferred
SERO,Super Zero Protocol
WXT,Wirex Token
DUSK,Dusk Network
ESH,Switch
X42,x42 Protocol
TMN,TranslateMe Network Token
FLETA,FLETA
FUZE,FUZE Token
XCM,Coinmetro Token
EVC,Eco Value Coin
GOLD,Golden Token
PVT,Pivot Token
TKP,TOKPIE
FOR,ForTube
VD,VinDax Coin
PROM,Prom
SAPP,Sapphire
CCA,CCA
EOST,EOS TRUST
BST,Bitsten Token
AKRO,Akropolis
STIPS,STIPS
BRZ,Brazilian Digital Token
TFBX,TrueFeedBack
GEX,GLOBEX
RUNE,THORChain
YEC,Ycash
CLM,CoinClaim
STO,Storeum
CREDIT,CREDIT
RIO,Realio Network
BTR,Bitrue Coin
LUNC,Terra Classic
LEVL,Levolution
BTRL,BitcoinRegular
DAPPT,Dapp Token
DDK,DDKoin
GMAT,GoWithMi
SFX,Safex Cash
UOS,Ultra
NOIA,Syntropy
DYNMT,Dynamite
FTT,FTX Token
SHR,ShareToken
SWACE,Swace
PCX,ChainX
OPNN,Opennity
WIN,WINkLink
BIRD,Birdchain
XEQ,Equilibria
1UP,Uptrennd
EM,Eminer
BOA,BOSagora
MCASH,Mcashchain
FRM,Ferrum Network
YO,Yobit Token
MBN,Membrana
PLA,PLANET
ENQ,Enecuum
FRA,Findora
CBM,CryptoBonusMiles
HINT,Hintchain
KLAY,Klaytn
BTRS,Bitball Treasure
XSR,Sucrecoin
UAT,UltrAlpha
BCNA,BitCanna
RITO,Ritocoin
NYE,NewYork Exchange
GT,GateToken
COCOS,Cocos-BCX
DEFI,Defi
DTEP,DECOIN
SXP,Solar
TSHP,12Ships
BF,BitForex Token
ZNZ,ZENZO
JOB,Jobchain
IOEX,IOEX
KGC,Krypton Galaxy Coin
NBXC,Nibble
PERL,PERL.eco
RPZX,Rapidz
TOKO,Tokoin
VID,Vivid Labs
BSOV,BitcoinSoV
UNI,UNICORN Token
CRON,Cryptocean
VDL,Vidulum
BEST,Bitpanda Ecosystem Token
STREAM,Streamit Coin
MIX,MixMarvel
YCE,MYCE
DIC,Daikicoin
EXCC,ExchangeCoin
TUP,TenUp
XDAG,XDAG
BDCC,BITICA COIN
VIDY,VIDY
VXV,Vectorspace AI
ETNX,Electronero
BDP,BidiPass
PIRATE,PirateCash
ECO,Ormeus Ecosystem
EGG,Nestree
SCSX,Secure Cash
EMRX,Emirex Token
FLS,Flits
ABET,Altbet
MIDAS,Midas
HTB,Hotbit Token
VOLTZ,Voltz
LN,LINK
DVP,Decentralized Vulnerability Platform
YEAR,Lightyears
LYRA,Scrypta
CITY,City Coin
ZOC,01coin
AIRX,Aircoins
FLOW,Flow
XDB,DigitalBits
JFC,JFIN
PROB,ProBit Token
CTK,Cryptyk Token
AKN,Akoin
SIERRA,Sierracoin
HBAR,Hedera
NEWS,PUBLISH
TLOS,Telos
TEP,Tepleton
GDC,Global Digital Content
BAND,Band Protocol
FYD,FYDcoin
CLR,Color Platform
BUSD,Binance USD
ZANO,Zano
EC,Echoin
IDRT,Rupiah Token
BXC,BonusCloud
BAN,Banano
PAXG,PAX Gold
XLAB,XcelToken Plus
CERE,Cere Network
AMON,AmonD
TKX,Tokenize Xchange
QTCON,Quiztok
VLX,Velas
CUT,CUTcoin
XRT,Robonomics.network
DF,dForce
XPN,PANTHEON X
NU,NuCypher
EOSC,EOS Force
1GOLD,1irstGold
AZ,Azbit
HUSD,HUSD
BTCV,BitcoinV
DILI,D Community
FNB,FinexboxToken
SMILE,SMILE
CDEX,Codex
ROOBEE,ROOBEE
VNDC,VNDC
CTK,Shentu
BCNT,Bincentive
WIKEN,Project WITH
XBT,XBIT
XSR,Xensor
SYM,SymVerse
ZUM,ZUM TOKEN
GLS,Golos Blockchain
SUTER,suterusu
MCH,MeconCash
KAVA,Kava
STX,Stacks
FORESTPLUS,The Forbidden Forest
LINKA,LINKA
ES,Era Swap
DAD,DAD
NII,Nahmii
GRIMM,Grimm
BTZC,BeatzCoin
GDR,Guider
GNTO,GoldeNugget
IRA,Diligence
RAE,Receive Access Ecosystem
NWC,Newscrypto
RINGX,RING X PLATFORM
